Region,Codes/KOD,#,Categories Kategoriya,Description / Assortiment,Iyul,UZB-1-AXM,UZB-1-FUR,UZB-1-BEG,UZB-1-DOS,UZB-1-NUR,UZB-1-GOLB,UZB-1-UMI,UZB-1-GAY,UZB-1-SAID,UZB-1-OPE,Tekshiruv,UZB-1-AXM.1,UZB-1-FUR.1,UZB-1-BEG.1,UZB-1-DOS.1,UZB-1-NUR.1,UZB-1-GOLB.1,UZB-1-UMI.1,UZB-1-GAY.1,UZB-1-SAID.1,UZB-1-OPE.1,month
01 Tashkent,EN-110.001,1,GASOLINE,ENOC Protec Flex Energy SP 0W20 1L,168,20,20,20,24,15,18,16,18,18,0,1,206.20000000000002,206.20000000000002,206.20000000000002,247.44,154.65,185.58,164.96,185.58,185.58,0,iyul
01 Tashkent,EN-110.004,2,GASOLINE,ENOC Protec Flex Energy SP 0W20 4L,568,72,68,68,80,52,60,52,60,56,0,ok,742.32,701.08,701.08,824.8000000000001,536.12,618.6,536.12,618.6,577.36,0,iyul
01 Tashkent,EN-101.001,3,GASOLINE,ENOC Protec Flex Energy SP 5W30 1L,70,8,8,8,10,6,8,7,7,7,0,-1,76.0,76.0,76.0,95.0,57.0,76.0,66.5,66.5,66.5,0,iyul
01 Tashkent,EN-101.004,4,GASOLINE,ENOC Protec Flex Energy SP 5W30 4L,188,20,24,24,28,20,16,16,20,20,0,ok,190.0,228.0,228.0,266.0,190.0,152.0,152.0,190.0,190.0,0,iyul
01 Tashkent,EN-120.001,5,GASOLINE,ENOC Protec Green C5 0W20 1L,0,0,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
01 Tashkent,EN-191.001,6,GASOLINE,ENOC Protec X-Treme SP 5W40 1L,5,0,1,1,1,0,1,0,1,1,0,1,0.0,11.0,11.0,11.0,0.0,11.0,0.0,11.0,11.0,0,iyul
01 Tashkent,EN-140.001,7,GASOLINE,ENOC Protec Premium SP 5W30 12x1L,76,9,9,9,11,7,8,7,8,8,0,ok,61.74,61.74,61.74,75.46000000000001,48.02,54.88,48.02,54.88,54.88,0,iyul
01 Tashkent,EN-140.004,8,GASOLINE,ENOC Protec Premium SP 5W30 4x4L,3844,444,460,464,548,344,416,360,408,400,0,ok,3045.84,3155.6000000000004,3183.04,3759.28,2359.84,2853.76,2469.6,2798.88,2744.0,0,iyul
01 Tashkent,EN-171.209,9,GASOLINE,ENOC Protec Ultra SP 10W40 209L,209,0,0,0,0,209,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,1170.3999999999999,0.0,0.0,0.0,0.0,0,iyul
01 Tashkent,EN-171.003,10,GASOLINE,ENOC Protec Ultra SP 10W40 3L,285,33,33,33,42,27,30,27,30,30,0,ok,201.96,201.96,201.96,257.04,165.23999999999998,183.6,165.23999999999998,183.6,183.6,0,iyul
01 Tashkent,EN-171.004,11,GASOLINE,ENOC Protec Ultra SP 10W40 4L,3812,444,456,460,540,340,412,356,400,400,0,-4,2717.28,2790.7200000000003,2815.2000000000003,3304.8,2080.8,2521.44,2178.7200000000003,2448.0,2448.0,0,iyul
01 Tashkent,EN-330.020,12,DIESEL,ENOC Vulcan 990X EXLD 10W40 CK-4 M3477 20L,1880,220,220,220,260,180,200,180,200,200,0,ok,1573.0,1573.0,1573.0,1859.0,1287.0,1430.0,1287.0,1430.0,1430.0,0,iyul
01 Tashkent,EN-330.209,13,DIESEL,ENOC Vulcan 990X EXLD 10W40 CK-4 M3477 209L,0,0,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
01 Tashkent,EN-331.020,14,DIESEL,ENOC Vulcan 990X SYNTECH 10W40 20L,1120,120,140,140,160,100,120,100,120,120,0,ok,792.0,924.0,924.0,1056.0,660.0,792.0,660.0,792.0,792.0,0,iyul
01 Tashkent,EN-320.209,15,DIESEL,ENOC Vulcan 770X 15W40 CI-4/SL M3275 209L,0,0,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
01 Tashkent,EN-320.020,16,DIESEL,ENOC Vulcan 770X 15W40 CI-4/SL M3275 20L,380,60,40,40,60,40,40,40,40,20,0,ok,330.0,220.0,220.0,330.0,220.0,220.0,220.0,220.0,110.0,0,iyul
