Region,Codes/KOD,#,Categories Kategoriya,Description / Assortiment,Iyul,UZB-2-SUX,UZB-2-DONI,UZB-2-RAH,UZB-2-OPE,Tekshiruv,UZB-2-SUX.1,UZB-2-DONI.1,UZB-2-RAH.1,UZB-2-OPE.1,month
02 Qoqon,EN-110.001,1,GASOLINE,ENOC Protec Flex Energy SP 0W20 1L,13,5,4,2,3,1,51.550000000000004,41.24,20.62,30.93,iyul
02 Qoqon,EN-110.004,2,GASOLINE,ENOC Protec Flex Energy SP 0W20 4L,20,8,4,4,4,ok,82.48,41.24,41.24,41.24,iyul
02 Qoqon,EN-101.001,3,GASOLINE,ENOC Protec Flex Energy SP 5W30 1L,25,9,7,4,5,ok,85.5,66.5,38.0,47.5,iyul
02 Qoqon,EN-101.004,4,GASOLINE,ENOC Protec Flex Energy SP 5W30 4L,132,48,36,24,24,ok,456.0,342.0,228.0,228.0,iyul
02 Qoqon,EN-120.001,5,GASOLINE,ENOC Protec Green C5 0W20 1L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
02 Qoqon,EN-191.001,6,GASOLINE,ENOC Protec X-Treme SP 5W40 1L,12,4,3,2,2,-1,44.0,33.0,22.0,22.0,iyul
02 Qoqon,EN-140.001,7,GASOLINE,ENOC Protec Premium SP 5W30 12x1L,57,21,15,9,11,-1,144.06,102.9,61.74,75.46000000000001,iyul
02 Qoqon,EN-140.004,8,GASOLINE,ENOC Protec Premium SP 5W30 4x4L,632,236,172,104,120,ok,1618.96,1179.92,713.44,823.2,iyul
02 Qoqon,EN-171.209,9,GASOLINE,ENOC Protec Ultra SP 10W40 209L,209,0,0,0,209,ok,0.0,0.0,0.0,1170.3999999999999,iyul
02 Qoqon,EN-171.003,10,GASOLINE,ENOC Protec Ultra SP 10W40 3L,84,30,24,15,15,ok,183.6,146.88,91.8,91.8,iyul
02 Qoqon,EN-171.004,11,GASOLINE,ENOC Protec Ultra SP 10W40 4L,800,296,216,132,156,ok,1811.52,1321.92,807.84,954.72,iyul
02 Qoqon,EN-330.020,12,DIESEL,ENOC Vulcan 990X EXLD 10W40 CK-4 M3477 20L,1000,420,220,160,200,ok,3003.0,1573.0,1144.0,1430.0,iyul
