Region,Codes/KOD,#,Categories Kategoriya,Description / Assortiment,Iyul,UZB-5-AZIZ,UZB-5-SURA,UZB-5-TOX,UZB-5-YULI,UZB-5-NOD,UZB-5-SHER,UZB-5-YUL,UZB-5-MXR,UZB-5-OPE,Tekshiruv,UZB-5-AZIZ.1,UZB-5-SURA.1,UZB-5-TOX.1,UZB-5-YULI.1,UZB-5-NOD.1,UZB-5-SHER.1,UZB-5-YUL.1,UZB-5-MXR.1,UZB-5-OPE.1,month
05 Samarqand,EN-110.001,1,GASOLINE,ENOC Protec Flex Energy SP 0W20 1L,48,6,5,5,5,5,6,6,5,4,-1,61.86,51.550000000000004,51.550000000000004,51.550000000000004,51.550000000000004,61.86,61.86,51.550000000000004,41.24,iyul
05 Samarqand,EN-110.004,2,GASOLINE,ENOC Protec Flex Energy SP 0W20 4L,112,12,12,12,12,12,12,16,12,12,ok,123.72,123.72,123.72,123.72,123.72,123.72,164.96,123.72,123.72,iyul
05 Samarqand,EN-101.001,3,GASOLINE,ENOC Protec Flex Energy SP 5W30 1L,0,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iyul
05 Samarqand,EN-101.004,4,GASOLINE,ENOC Protec Flex Energy SP 5W30 4L,564,68,64,64,64,64,68,64,60,48,ok,646.0,608.0,608.0,608.0,608.0,646.0,608.0,570.0,456.0,iyul
05 Samarqand,EN-120.001,5,GASOLINE,ENOC Protec Green C5 0W20 1L,0,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iyul
05 Samarqand,EN-191.001,6,GASOLINE,ENOC Protec X-Treme SP 5W40 1L,23,3,3,3,3,3,3,3,2,2,2,33.0,33.0,33.0,33.0,33.0,33.0,33.0,22.0,22.0,iyul
05 Samarqand,EN-140.001,7,GASOLINE,ENOC Protec Premium SP 5W30 12x1L,0,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iyul
05 Samarqand,EN-140.004,8,GASOLINE,ENOC Protec Premium SP 5W30 4x4L,3388,400,384,376,380,388,400,392,364,304,ok,2744.0,2634.2400000000002,2579.36,2606.8,2661.6800000000003,2744.0,2689.1200000000003,2497.04,2085.44,iyul
05 Samarqand,EN-171.209,9,GASOLINE,ENOC Protec Ultra SP 10W40 209L,836,209,209,209,209,0,0,0,0,0,ok,1170.3999999999999,1170.3999999999999,1170.3999999999999,1170.3999999999999,0.0,0.0,0.0,0.0,0.0,iyul
05 Samarqand,EN-171.003,10,GASOLINE,ENOC Protec Ultra SP 10W40 3L,3387,402,384,375,378,387,402,393,363,303,ok,2460.24,2350.08,2295.0,2313.36,2368.44,2460.24,2405.16,2221.56,1854.36,iyul
05 Samarqand,EN-171.004,11,GASOLINE,ENOC Protec Ultra SP 10W40 4L,7932,940,900,880,888,908,940,916,848,712,ok,5752.8,5508.0,5385.6,5434.56,5556.96,5752.8,5605.92,5189.76,4357.4400000000005,iyul
05 Samarqand,EN-330.020,12,DIESEL,ENOC Vulcan 990X EXLD 10W40 CK-4 M3477 20L,1300,160,140,140,140,120,180,160,140,120,ok,1144.0,1001.0,1001.0,1001.0,858.0,1287.0,1144.0,1001.0,858.0,iyul
05 Samarqand,EN-330.209,13,DIESEL,ENOC Vulcan 990X EXLD 10W40 CK-4 M3477 209L,209,0,0,0,0,209,0,0,0,0,ok,0.0,0.0,0.0,0.0,1375.22,0.0,0.0,0.0,0.0,iyul
05 Samarqand,EN-331.020,14,DIESEL,ENOC Vulcan 990X SYNTECH 10W40 20L,660,80,80,80,40,80,80,80,80,60,ok,528.0,528.0,528.0,264.0,528.0,528.0,528.0,528.0,396.0,iyul
05 Samarqand,EN-320.209,15,DIESEL,ENOC Vulcan 770X 15W40 CI-4/SL M3275 209L,627,0,0,0,0,0,209,209,209,0,ok,0.0,0.0,0.0,0.0,0.0,1001.11,1001.11,1001.11,0.0,iyul
