Region,Codes/KOD,#,Categories Kategoriya,Description / Assortiment,Iyul,UZB-6-ABH,UZB-6-SARD,UZB-6-NURI,UZB-6-OPE,Tekshiruv,UZB-6-ABH.1,UZB-6-SARD.1,UZB-6-NURI.1,UZB-6-OPE.1,month
06 Fargona,EN-110.001,1,GASOLINE,ENOC Protec Flex Energy SP 0W20 1L,22,6,6,5,5,ok,61.86,61.86,51.550000000000004,51.550000000000004,iyul
06 Fargona,EN-110.004,2,GASOLINE,ENOC Protec Flex Energy SP 0W20 4L,148,40,40,32,36,ok,412.40000000000003,412.40000000000003,329.92,371.16,iyul
06 Fargona,EN-101.001,3,GASOLINE,ENOC Protec Flex Energy SP 5W30 1L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
06 Fargona,EN-101.004,4,GASOLINE,ENOC Protec Flex Energy SP 5W30 4L,512,136,140,108,128,ok,1292.0,1330.0,1026.0,1216.0,iyul
06 Fargona,EN-120.001,5,GASOLINE,ENOC Protec Green C5 0W20 1L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
06 Fargona,EN-191.001,6,GASOLINE,ENOC Protec X-Treme SP 5W40 1L,17,5,5,4,4,1,55.0,55.0,44.0,44.0,iyul
06 Fargona,EN-140.001,7,GASOLINE,ENOC Protec Premium SP 5W30 12x1L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
06 Fargona,EN-140.004,8,GASOLINE,ENOC Protec Premium SP 5W30 4x4L,1068,284,296,224,264,ok,1948.24,2030.5600000000002,1536.64,1811.0400000000002,iyul
06 Fargona,EN-171.209,9,GASOLINE,ENOC Protec Ultra SP 10W40 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
06 Fargona,EN-171.003,10,GASOLINE,ENOC Protec Ultra SP 10W40 3L,144,39,39,30,36,ok,238.67999999999998,238.67999999999998,183.6,220.32000000000002,iyul
06 Fargona,EN-171.004,11,GASOLINE,ENOC Protec Ultra SP 10W40 4L,1304,348,356,276,324,ok,2129.76,2178.7200000000003,1689.1200000000001,1982.88,iyul
06 Fargona,EN-330.020,12,DIESEL,ENOC Vulcan 990X EXLD 10W40 CK-4 M3477 20L,2940,780,800,620,740,ok,5577.0,5720.0,4433.0,5291.0,iyul
06 Fargona,EN-330.209,13,DIESEL,ENOC Vulcan 990X EXLD 10W40 CK-4 M3477 209L,209,0,0,0,209,ok,0.0,0.0,0.0,1375.22,iyul
06 Fargona,EN-331.020,14,DIESEL,ENOC Vulcan 990X SYNTECH 10W40 20L,480,120,140,100,120,ok,792.0,924.0,660.0,792.0,iyul
06 Fargona,EN-320.209,15,DIESEL,ENOC Vulcan 770X 15W40 CI-4/SL M3275 209L,418,209,0,0,209,ok,1001.11,0.0,0.0,1001.11,iyul
06 Fargona,EN-320.020,16,DIESEL,ENOC Vulcan 770X 15W40 CI-4/SL M3275 20L,360,100,100,80,80,ok,550.0,550.0,440.0,440.0,iyul
06 Fargona,EN-320.008,17,DIESEL,ENOC Vulcan 770X 15W40 CI-4/SL M3275 8L,184,48,48,40,48,ok,264.0,264.0,220.0,264.0,iyul
06 Fargona,EN-010.001,18,TRANSMISS,ENOC Active Syn OEM Dex VI 1L,213,57,58,45,53,ok,514.14,523.16,405.9,478.06,iyul
06 Fargona,EN-010.004,19,TRANSMISS,ENOC Active Syn OEM Dex VI 4L,28,8,8,4,8,ok,72.16,72.16,36.08,72.16,iyul
06 Fargona,EN-011.001,20,TRANSMISS,ENOC Active Syn OEM LV 1L,30,8,8,6,7,-1,88.0,88.0,66.0,77.0,iyul
06 Fargona,EN-001.001,21,TRANSMISS,ENOC Active Premium Dex III 1L,9,2,2,2,2,-1,14.04,14.04,14.04,14.04,iyul
06 Fargona,EN-040.000300,22,SPECIALITY,ENOC ENAYA DIESEL INJECTOR CLEANER 300ml,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
06 Fargona,EN-050.000300,23,SPECIALITY,ENOC ENAYA PETROL INJECTOR CLEANER 300ml,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
06 Fargona,EN-340.001,24,GEAR OIL,ENOC Zenon Premium Plus Synt GL-4 75W85 1L,110,29,30,23,27,-1,355.83,368.09999999999997,282.21,331.28999999999996,iyul
06 Fargona,EN-350.001,25,GEAR OIL,ENOC Zenon Ultra Plus GL-5 80W90 1L,119,32,32,25,30,ok,244.8,244.8,191.25,229.5,iyul
06 Fargona,EN-350.020,26,GEAR OIL,ENOC Zenon Ultra Plus GL-5 80W90 20L,40,20,20,0,0,ok,142.0,142.0,0.0,0.0,iyul
06 Fargona,EN-360.001,27,GEAR OIL,ENOC Zenon Ultra Plus GL-5 85W140 1L,73,20,20,15,18,ok,154.0,154.0,115.5,138.6,iyul
06 Fargona,EN-360.020,28,GEAR OIL,ENOC Zenon Ultra Plus GL-5 85W140 20L,180,40,40,60,40,ok,286.4,286.4,429.6,286.4,iyul
06 Fargona,EN-260.015,29,GREASE,ENOC Verron LX Grease 2-15kg,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
