Region,Codes/KOD,#,Categories Kategoriya,Description / Assortiment,Iyul,UZB-7-SARD,UZB-7-NUR,UZB-7-JAM,UZB-7-OPE,Tekshiruv,UZB-7-SARD.1,UZB-7-NUR.1,UZB-7-JAM.1,UZB-7-OPE.1,month
07 Jizzakh,EN-110.001,1,GASOLINE,ENOC Protec Flex Energy SP 0W20 1L,5,2,1,2,0,ok,20.62,10.31,20.62,0,iyul
07 Jizzakh,EN-110.004,2,GASOLINE,ENOC Protec Flex Energy SP 0W20 4L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,EN-101.001,3,GASOLINE,ENOC Protec Flex Energy SP 5W30 1L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,EN-101.004,4,GASOLINE,ENOC Protec Flex Energy SP 5W30 4L,60,24,16,20,0,ok,228.0,152.0,190.0,0,iyul
07 Jizzakh,EN-120.001,5,GASOLINE,ENOC Protec Green C5 0W20 1L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,EN-191.001,6,GASOLINE,ENOC Protec X-Treme SP 5W40 1L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,EN-140.001,7,GASOLINE,ENOC Protec Premium SP 5W30 12x1L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,EN-140.004,8,GASOLINE,ENOC Protec Premium SP 5W30 4x4L,1392,572,376,448,0,4,3923.92,2579.36,3073.28,0,iyul
07 Jizzakh,EN-171.209,9,GASOLINE,ENOC Protec Ultra SP 10W40 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,EN-171.003,10,GASOLINE,ENOC Protec Ultra SP 10W40 3L,180,75,48,57,0,ok,459.0,293.76,348.84,0,iyul
07 Jizzakh,EN-171.004,11,GASOLINE,ENOC Protec Ultra SP 10W40 4L,1564,640,420,500,0,-4,3916.8,2570.4,3060.0,0,iyul
07 Jizzakh,EN-330.020,12,DIESEL,ENOC Vulcan 990X EXLD 10W40 CK-4 M3477 20L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,EN-330.209,13,DIESEL,ENOC Vulcan 990X EXLD 10W40 CK-4 M3477 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,EN-331.020,14,DIESEL,ENOC Vulcan 990X SYNTECH 10W40 20L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
07 Jizzakh,EN-320.209,15,DIESEL,ENOC Vulcan 770X 15W40 CI-4/SL M3275 209L,209,209,0,0,0,ok,1001.11,0.0,0.0,0,iyul
