Region,Codes/KOD,#,Categories Kategoriya,Description / Assortiment,Iyul,UZB-9-AXR,UZB-9-GUL,UZB-9-OPE,Tekshiruv,UZB-9-AXR.1,UZB-9-GUL.1,UZB-9-OPE.1,month
09 Sirdaryo,EN-110.001,1,GASOLINE,ENOC Protec Flex Energy SP 0W20 1L,10,5,3,2,ok,51.550000000000004,30.93,20.62,iyul
09 Sirdaryo,EN-110.004,2,GASOLINE,ENOC Protec Flex Energy SP 0W20 4L,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,EN-101.001,3,GASOLINE,ENOC Protec Flex Energy SP 5W30 1L,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,EN-101.004,4,GASOLINE,ENOC Protec Flex Energy SP 5W30 4L,192,96,60,36,ok,912.0,570.0,342.0,iyul
09 Sirdaryo,EN-120.001,5,GASOLINE,ENOC Protec Green C5 0W20 1L,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,EN-191.001,6,GASOLINE,ENOC Protec X-Treme SP 5W40 1L,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,EN-140.001,7,GASOLINE,ENOC Protec Premium SP 5W30 12x1L,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,EN-140.004,8,GASOLINE,ENOC Protec Premium SP 5W30 4x4L,436,216,120,100,ok,1481.76,823.2,686.0,iyul
09 Sirdaryo,EN-171.209,9,GASOLINE,ENOC Protec Ultra SP 10W40 209L,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,EN-171.003,10,GASOLINE,ENOC Protec Ultra SP 10W40 3L,21,9,6,6,ok,55.080000000000005,36.72,36.72,iyul
09 Sirdaryo,EN-171.004,11,GASOLINE,ENOC Protec Ultra SP 10W40 4L,1372,680,376,316,ok,4161.6,2301.12,1933.92,iyul
09 Sirdaryo,EN-330.020,12,DIESEL,ENOC Vulcan 990X EXLD 10W40 CK-4 M3477 20L,20,20,0,0,ok,143.0,0.0,0.0,iyul
09 Sirdaryo,EN-330.209,13,DIESEL,ENOC Vulcan 990X EXLD 10W40 CK-4 M3477 209L,418,209,209,0,ok,1375.22,1375.22,0.0,iyul
09 Sirdaryo,EN-331.020,14,DIESEL,ENOC Vulcan 990X SYNTECH 10W40 20L,60,40,20,0,ok,264.0,132.0,0.0,iyul
09 Sirdaryo,EN-320.209,15,DIESEL,ENOC Vulcan 770X 15W40 CI-4/SL M3275 209L,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,EN-320.020,16,DIESEL,ENOC Vulcan 770X 15W40 CI-4/SL M3275 20L,60,40,20,0,ok,220.0,110.0,0.0,iyul
09 Sirdaryo,EN-320.008,17,DIESEL,ENOC Vulcan 770X 15W40 CI-4/SL M3275 8L,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,EN-010.001,18,TRANSMISS,ENOC Active Syn OEM Dex VI 1L,36,18,10,8,ok,162.35999999999999,90.19999999999999,72.16,iyul
09 Sirdaryo,EN-010.004,19,TRANSMISS,ENOC Active Syn OEM Dex VI 4L,8,4,4,0,ok,36.08,36.08,0.0,iyul
09 Sirdaryo,EN-011.001,20,TRANSMISS,ENOC Active Syn OEM LV 1L,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,EN-001.001,21,TRANSMISS,ENOC Active Premium Dex III 1L,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,EN-040.000300,22,SPECIALITY,ENOC ENAYA DIESEL INJECTOR CLEANER 300ml,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,EN-050.000300,23,SPECIALITY,ENOC ENAYA PETROL INJECTOR CLEANER 300ml,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,EN-340.001,24,GEAR OIL,ENOC Zenon Premium Plus Synt GL-4 75W85 1L,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,EN-350.001,25,GEAR OIL,ENOC Zenon Ultra Plus GL-5 80W90 1L,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,EN-350.020,26,GEAR OIL,ENOC Zenon Ultra Plus GL-5 80W90 20L,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,EN-360.001,27,GEAR OIL,ENOC Zenon Ultra Plus GL-5 85W140 1L,41,20,11,9,-1,154.0,84.7,69.3,iyul
09 Sirdaryo,EN-360.020,28,GEAR OIL,ENOC Zenon Ultra Plus GL-5 85W140 20L,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,EN-260.015,29,GREASE,ENOC Verron LX Grease 2-15kg,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,EP-OIL-100.003,30,GASOLINE,EPSENT NEOTEC 10W40 SYN API SN/CJ-4 6x3L,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,EP-OIL-100.004,31,GASOLINE,EPSENT NEOTEC 10W40 SYN API SN/CJ-4 4x4L,20,12,4,4,ok,71.28,23.76,23.76,iyul
09 Sirdaryo,EP-OIL-110.004,32,GASOLINE,EPSENT NEOTEC 5W30 DX1 API SP - 4x4L,20,12,4,4,ok,75.6,25.2,25.2,iyul
09 Sirdaryo,EP-OIL-110.060,33,GASOLINE,EPSENT NEOTEC 5W30 DX1 API SP - 60L,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,EP-OIL-110.209,34,GASOLINE,EPSENT NEOTEC 5W30 DX1 API SP - 209L,0,0,0,0,ok,0.0,0.0,0.0,iyul
09 Sirdaryo,EP-OIL-120.004,35,GASOLINE,EPSENT NEOTEC 5W30 SYN API SN/CJ-4 4x4L,36,20,8,8,ok,126.0,50.4,50.4,iyul
09 Sirdaryo,EP-OIL-130.004,36,GASOLINE,EPSENT NEOTEC 5W40 API SN/CJ-4 - 4x4L,4,4,0,0,ok,26.2,0.0,0.0,iyul
