Region,Codes/KOD,#,Categories Kategoriya,Description / Assortiment,Iyul,UZB-10-ISL,UZB-10-JAH,UZB-10-JAS,UZB-10-AZI,UZB-10-AKB,UZB-10-ORF,UZB-10-ABD,UZB-10-OPE,Tekshiruv,UZB-10-ISL.1,UZB-10-JAH.1,UZB-10-JAS.1,UZB-10-AZI.1,UZB-10-AKB.1,UZB-10-ORF.1,UZB-10-ABD.1,UZB-10-OPE.1,month
10 Qashqadaryo,EN-110.001,1,GASOLINE,ENOC Protec Flex Energy SP 0W20 1L,19,3,2,3,3,3,3,2,0,ok,30.93,20.62,30.93,30.93,30.93,30.93,20.62,0,iyul
10 Qashqadaryo,EN-110.004,2,GASOLINE,ENOC Protec Flex Energy SP 0W20 4L,24,0,4,4,4,4,4,4,0,ok,0.0,41.24,41.24,41.24,41.24,41.24,41.24,0,iyul
10 Qashqadaryo,EN-101.001,3,GASOLINE,ENOC Protec Flex Energy SP 5W30 1L,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
10 Qashqadaryo,EN-101.004,4,GASOLINE,ENOC Protec Flex Energy SP 5W30 4L,156,28,20,24,20,24,20,20,0,ok,266.0,190.0,228.0,190.0,228.0,190.0,190.0,0,iyul
10 Qashqadaryo,EN-120.001,5,GASOLINE,ENOC Protec Green C5 0W20 1L,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
10 Qashqadaryo,EN-191.001,6,GASOLINE,ENOC Protec X-Treme SP 5W40 1L,15,3,2,2,2,2,2,2,0,ok,33.0,22.0,22.0,22.0,22.0,22.0,22.0,0,iyul
10 Qashqadaryo,EN-140.001,7,GASOLINE,ENOC Protec Premium SP 5W30 12x1L,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
10 Qashqadaryo,EN-140.004,8,GASOLINE,ENOC Protec Premium SP 5W30 4x4L,1620,292,208,248,216,244,224,188,0,ok,2003.1200000000001,1426.88,1701.28,1481.76,1673.8400000000001,1536.64,1289.68,0,iyul
10 Qashqadaryo,EN-171.209,9,GASOLINE,ENOC Protec Ultra SP 10W40 209L,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
10 Qashqadaryo,EN-171.003,10,GASOLINE,ENOC Protec Ultra SP 10W40 3L,414,75,54,63,54,63,57,48,0,ok,459.0,330.47999999999996,385.56,330.47999999999996,385.56,348.84,293.76,0,iyul
10 Qashqadaryo,EN-171.004,11,GASOLINE,ENOC Protec Ultra SP 10W40 4L,1892,352,244,288,252,284,264,208,0,ok,2154.2400000000002,1493.28,1762.56,1542.24,1738.08,1615.68,1272.96,0,iyul
10 Qashqadaryo,EN-330.020,12,DIESEL,ENOC Vulcan 990X EXLD 10W40 CK-4 M3477 20L,400,80,40,60,60,60,60,40,0,ok,572.0,286.0,429.0,429.0,429.0,429.0,286.0,0,iyul
10 Qashqadaryo,EN-330.209,13,DIESEL,ENOC Vulcan 990X EXLD 10W40 CK-4 M3477 209L,0,0,0,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,iyul
10 Qashqadaryo,EN-331.020,14,DIESEL,ENOC Vulcan 990X SYNTECH 10W40 20L,120,20,20,20,20,20,20,0,0,ok,132.0,132.0,132.0,132.0,132.0,132.0,0.0,0,iyul
