Region,Codes/KOD,#,Categories Kategoriya,Description / Assortiment,Iyul,UZB-12-ZOK,UZB-12-MUR,UZB-12-JAM,UZB-12-MUZ,UZB-12-OPE,Tekshiruv,UZB-12-ZOK.1,UZB-12-MUR.1,UZB-12-JAM.1,UZB-12-MUZ.1,UZB-12-OPE.1,month
12 Xorazm,EN-110.001,1,GASOLINE,ENOC Protec Flex Energy SP 0W20 1L,16,4,4,3,4,0,-1,41.24,41.24,30.93,41.24,0,iyul
12 Xorazm,EN-110.004,2,GASOLINE,ENOC Protec Flex Energy SP 0W20 4L,24,8,8,0,8,0,ok,82.48,82.48,0.0,82.48,0,iyul
12 Xorazm,EN-101.001,3,GASOLINE,ENOC Protec Flex Energy SP 5W30 1L,55,15,15,11,15,0,1,142.5,142.5,104.5,142.5,0,iyul
12 Xorazm,EN-101.004,4,GASOLINE,ENOC Protec Flex Energy SP 5W30 4L,108,28,28,24,28,0,ok,266.0,266.0,228.0,266.0,0,iyul
12 Xorazm,EN-120.001,5,GASOLINE,ENOC Protec Green C5 0W20 1L,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0,iyul
12 Xorazm,EN-191.001,6,GASOLINE,ENOC Protec X-Treme SP 5W40 1L,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0,iyul
12 Xorazm,EN-140.001,7,GASOLINE,ENOC Protec Premium SP 5W30 12x1L,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0,iyul
12 Xorazm,EN-140.004,8,GASOLINE,ENOC Protec Premium SP 5W30 4x4L,376,100,100,76,100,0,ok,686.0,686.0,521.36,686.0,0,iyul
12 Xorazm,EN-171.209,9,GASOLINE,ENOC Protec Ultra SP 10W40 209L,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0,iyul
12 Xorazm,EN-171.003,10,GASOLINE,ENOC Protec Ultra SP 10W40 3L,72,18,18,18,18,0,ok,110.16000000000001,110.16000000000001,110.16000000000001,110.16000000000001,0,iyul
12 Xorazm,EN-171.004,11,GASOLINE,ENOC Protec Ultra SP 10W40 4L,224,56,60,48,60,0,ok,342.72,367.2,293.76,367.2,0,iyul
12 Xorazm,EN-330.020,12,DIESEL,ENOC Vulcan 990X EXLD 10W40 CK-4 M3477 20L,740,220,200,140,180,0,ok,1573.0,1430.0,1001.0,1287.0,0,iyul
12 Xorazm,EN-330.209,13,DIESEL,ENOC Vulcan 990X EXLD 10W40 CK-4 M3477 209L,209,0,0,209,0,0,ok,0.0,0.0,1375.22,0.0,0,iyul
