Region,Codes/KOD,#,Categories Kategoriya,Description / Assortiment,Iyul,UZB-13-MDN,UZB-13-SAR,UZB-13-OPE,UZB-13-BEX,Tekshiruv,UZB-13-MDN.1,UZB-13-SAR.1,UZB-13-OPE.1,UZB-13-BEX.1,month
13 Buxoro,EN-110.001,1,GASOLINE,ENOC Protec Flex Energy SP 0W20 1L,7,2,2,2,2,1,20.62,20.62,20.62,20.62,iyul
13 Buxoro,EN-110.004,2,GASOLINE,ENOC Protec Flex Energy SP 0W20 4L,16,4,4,4,4,ok,41.24,41.24,41.24,41.24,iyul
13 Buxoro,EN-101.001,3,GASOLINE,ENOC Protec Flex Energy SP 5W30 1L,25,6,7,6,6,ok,57.0,66.5,57.0,57.0,iyul
13 Buxoro,EN-101.004,4,GASOLINE,ENOC Protec Flex Energy SP 5W30 4L,80,20,24,20,16,ok,190.0,228.0,190.0,152.0,iyul
13 Buxoro,EN-120.001,5,GASOLINE,ENOC Protec Green C5 0W20 1L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
13 Buxoro,EN-191.001,6,GASOLINE,ENOC Protec X-Treme SP 5W40 1L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
13 Buxoro,EN-140.001,7,GASOLINE,ENOC Protec Premium SP 5W30 12x1L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
13 Buxoro,EN-140.004,8,GASOLINE,ENOC Protec Premium SP 5W30 4x4L,536,140,144,136,116,ok,960.4000000000001,987.84,932.96,795.76,iyul
13 Buxoro,EN-171.209,9,GASOLINE,ENOC Protec Ultra SP 10W40 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
13 Buxoro,EN-171.003,10,GASOLINE,ENOC Protec Ultra SP 10W40 3L,39,9,9,9,9,-3,55.080000000000005,55.080000000000005,55.080000000000005,55.080000000000005,iyul
13 Buxoro,EN-171.004,11,GASOLINE,ENOC Protec Ultra SP 10W40 4L,544,140,148,140,116,ok,856.8000000000001,905.76,856.8000000000001,709.92,iyul
13 Buxoro,EN-330.020,12,DIESEL,ENOC Vulcan 990X EXLD 10W40 CK-4 M3477 20L,700,180,180,180,160,ok,1287.0,1287.0,1287.0,1144.0,iyul
13 Buxoro,EN-330.209,13,DIESEL,ENOC Vulcan 990X EXLD 10W40 CK-4 M3477 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
13 Buxoro,EN-331.020,14,DIESEL,ENOC Vulcan 990X SYNTECH 10W40 20L,220,60,60,80,20,ok,396.0,396.0,528.0,132.0,iyul
13 Buxoro,EN-320.209,15,DIESEL,ENOC Vulcan 770X 15W40 CI-4/SL M3275 209L,209,0,0,0,209,ok,0.0,0.0,0.0,1001.11,iyul
13 Buxoro,EN-320.020,16,DIESEL,ENOC Vulcan 770X 15W40 CI-4/SL M3275 20L,60,20,20,20,20,20,110.0,110.0,110.0,110.0,iyul
