ID,CODE,NAME
9161160 , 9161160 , EPCO
9161176 , 9161176 , 01 Tashkent
9161277 , 9161277, 02 Qoqon
9161280 , 9161280, 03 Andijon
9161283 , 9161283, 04 Namangan
9161286  , 9161286, 05 Samarqand
9161295 ,9161295, 06 Fargona
9161297 , 9161297, 07 Jizzakh
9161298 ,9161298, 08 Surxondaryo
9161304 , 9161304, 09 Sirdaryo
9161309 ,9161309, 10 Qashqadaryo
9161311, 9161311 , 11 Navoi
9161321 , 9161321, 12 Xorazm
9161316 ,9161316 , 13 Buxoro
9161336 ,9161336 , 14 Qoraqalpogiston



































